campaign_id,campaign_name,advertiser_id,agency_id,platform_id,segment_id,status,start_date,end_date,target_impressions,cpm_usd
CMP-001,Coca-Cola — Max Q4 Streaming Flight — US Adults 25–54,ADV-001,AGN-002,PLT-002,SEG-001,Active,2024-06-16,2025-03-30,49976001,21.58
CMP-002,Samsung — Discovery+ Sports Package — Connected TV,ADV-002,AGN-004,PLT-010,SEG-014,Active,2024-06-17,2025-03-29,155391363,31.42
CMP-003,Geico — truTV Prime Time Linear — October Flight,ADV-003,AGN-006,PLT-015,SEG-021,Active,2024-06-18,2025-03-28,45551368,38.52
CMP-004,Nike — Max Streaming — Sports Fans 18–34,ADV-004,AGN-008,PLT-020,SEG-028,Active,2024-06-19,2025-03-27,179337937,30.64
CMP-005,Apple — Eurosport Connected TV — Q4 Package,ADV-005,AGN-010,PLT-005,SEG-035,Active,2024-06-20,2025-03-26,130907966,35.5
CMP-006,Toyota — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-006,AGN-012,PLT-010,SEG-042,Active,2024-06-21,2025-03-25,165052017,37.27
CMP-007,McDonald's — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-007,AGN-014,PLT-015,SEG-049,Active,2024-06-22,2025-03-24,149776146,34.53
CMP-008,Verizon — Eurosport International — Young Adults 18–29 Q2 Package,ADV-008,AGN-016,PLT-020,SEG-056,Active,2024-06-23,2025-03-23,175442990,25.23
CMP-009,Amazon — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-009,AGN-018,PLT-005,SEG-063,Active,2024-06-24,2025-03-22,18680441,30.43
CMP-010,Microsoft — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-010,AGN-020,PLT-010,SEG-070,Active,2024-06-25,2025-03-21,47725615,20.62
CMP-011,Procter & Gamble — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-011,AGN-022,PLT-015,SEG-077,Active,2024-06-26,2025-03-20,44320531,25.49
CMP-012,Unilever — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-012,AGN-024,PLT-020,SEG-084,Active,2024-06-27,2025-03-19,149610343,32.38
CMP-013,AT&T — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-013,AGN-026,PLT-005,SEG-091,Active,2024-06-28,2025-03-18,74431752,23.92
CMP-014,T-Mobile — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-014,AGN-028,PLT-010,SEG-098,Active,2024-06-29,2025-03-17,111323692,41.4
CMP-015,Ford — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-015,AGN-030,PLT-015,SEG-105,Active,2024-06-30,2025-03-16,113733761,36.15
CMP-016,Chevrolet — Eurosport International — Males 18–34 Q3 Flight,ADV-016,AGN-002,PLT-020,SEG-112,Active,2024-07-01,2025-03-15,155865107,31.13
CMP-017,BMW — Discovery+ Premium Streaming — Connected TV Households Q3 Flight,ADV-017,AGN-004,PLT-005,SEG-119,Active,2024-07-02,2025-03-14,109373973,14.69
CMP-018,Audi — truTV Comedy Block — Premium Audiences 35–54 Q3 Flight,ADV-018,AGN-006,PLT-010,SEG-006,Active,2024-07-03,2025-03-13,162435649,20.76
CMP-019,Budweiser — TLC Prime Time Linear — Families 25–44 Q3 Flight,ADV-019,AGN-008,PLT-015,SEG-013,Active,2024-07-04,2025-03-12,140795208,16.23
CMP-020,Pepsi — Eurosport International — Young Adults 18–29 Q2 Package,ADV-020,AGN-010,PLT-020,SEG-020,Active,2024-06-15,2025-03-11,173000903,21.27
CMP-021,Gatorade — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-021,AGN-012,PLT-005,SEG-027,Active,2024-06-16,2025-03-10,117010969,22.91
CMP-022,State Farm — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-022,AGN-014,PLT-010,SEG-034,Active,2024-06-17,2025-03-09,131338146,14.72
CMP-023,Progressive — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-023,AGN-016,PLT-015,SEG-041,Active,2024-06-18,2025-03-08,175227429,28.63
CMP-024,Allstate — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-024,AGN-018,PLT-020,SEG-048,Active,2024-06-19,2025-03-07,49258756,24.76
CMP-025,Capital One — Discovery+ Premium Streaming — US Adults 25–54 Q2 Package,ADV-025,AGN-020,PLT-005,SEG-055,Active,2024-06-20,2025-03-31,179105631,38.26
CMP-026,Chase — truTV Comedy Block — Sports Fans 18–34 Q2 Package,ADV-026,AGN-022,PLT-010,SEG-062,Active,2024-06-21,2025-03-30,124877150,39.5
CMP-027,American Express — TLC Prime Time Linear — Women 25–49 Q2 Package,ADV-027,AGN-024,PLT-015,SEG-069,Active,2024-06-22,2025-03-29,87429066,37.33
CMP-028,Visa — Eurosport International — Males 18–34 Q2 Package,ADV-028,AGN-026,PLT-020,SEG-076,Active,2024-06-23,2025-03-28,169397630,39.79
CMP-029,Mastercard — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-029,AGN-028,PLT-005,SEG-083,Active,2024-06-24,2025-03-27,146631577,27.39
CMP-030,Target — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-030,AGN-030,PLT-010,SEG-090,Active,2024-06-25,2025-03-26,24811855,29.27
CMP-031,Walmart — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-031,AGN-002,PLT-015,SEG-097,Active,2024-06-26,2025-03-25,52627865,36.54
CMP-032,Home Depot — Eurosport International — Young Adults 18–29 Q2 Package,ADV-032,AGN-004,PLT-020,SEG-104,Active,2024-06-27,2025-03-24,158449870,38.6
CMP-033,Lowe's — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-033,AGN-006,PLT-005,SEG-111,Active,2024-06-28,2025-03-23,45535137,33.52
CMP-034,Best Buy — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-034,AGN-008,PLT-010,SEG-118,Active,2024-06-29,2025-03-22,133268742,26.1
CMP-035,Expedia — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-035,AGN-010,PLT-015,SEG-005,Active,2024-06-30,2025-03-21,147416252,38.53
CMP-036,Booking.com — Eurosport International — Sports Enthusiasts 21–45 Q3 Flight,ADV-036,AGN-012,PLT-020,SEG-012,Active,2024-07-01,2025-03-20,50752683,30.8
CMP-037,Delta Air Lines — Discovery+ Premium Streaming — US Adults 25–54 Q3 Flight,ADV-037,AGN-014,PLT-005,SEG-019,Active,2024-07-02,2025-03-19,140620335,32.23
CMP-038,American Airlines — truTV Comedy Block — Sports Fans 18–34 Q3 Flight,ADV-038,AGN-016,PLT-010,SEG-026,Active,2024-07-03,2025-03-18,164467046,19.53
CMP-039,Marriott — TLC Prime Time Linear — Women 25–49 Q3 Flight,ADV-039,AGN-018,PLT-015,SEG-033,Active,2024-07-04,2025-03-17,125932613,32.09
CMP-040,Hilton — Eurosport International — Males 18–34 Q2 Package,ADV-040,AGN-020,PLT-020,SEG-040,Active,2024-06-15,2025-03-16,100578069,28.44
CMP-041,Subway — Discovery+ Premium Streaming — Connected TV Households Q2 Package,ADV-041,AGN-022,PLT-005,SEG-047,Active,2024-06-16,2025-03-15,152727651,32.95
CMP-042,Domino's — truTV Comedy Block — Premium Audiences 35–54 Q2 Package,ADV-042,AGN-024,PLT-010,SEG-054,Active,2024-06-17,2025-03-14,125897106,24.99
CMP-043,KFC — TLC Prime Time Linear — Families 25–44 Q2 Package,ADV-043,AGN-026,PLT-015,SEG-061,Active,2024-06-18,2025-03-13,97020457,36.96
CMP-044,Burger King — Eurosport International — Young Adults 18–29 Q2 Package,ADV-044,AGN-028,PLT-020,SEG-068,Active,2024-06-19,2025-03-12,20490247,12.99
CMP-045,Starbucks — Discovery+ Premium Streaming — Auto Intenders 25–54 Q2 Package,ADV-045,AGN-030,PLT-005,SEG-075,Active,2024-06-20,2025-03-11,178329307,40.82
CMP-046,Dunkin' — truTV Comedy Block — Travel Decision-Makers 30–55 Q2 Package,ADV-046,AGN-002,PLT-010,SEG-082,Active,2024-06-21,2025-03-10,158361894,39.81
CMP-047,Spotify — TLC Prime Time Linear — Cord-Cutters 18–44 Q2 Package,ADV-047,AGN-004,PLT-015,SEG-089,Active,2024-06-22,2025-03-09,114619546,39.65
CMP-048,YouTube Premium — Eurosport International — Sports Enthusiasts 21–45 Q2 Package,ADV-048,AGN-006,PLT-020,SEG-096,Active,2024-06-23,2025-03-08,87822885,32.78
