agency_id,name,contact_email
AGN-001,GroupM,enterprise-ops@groupm.com
AGN-002,Publicis,enterprise-ops@publicis.com
AGN-003,Omnicom,enterprise-ops@omnicom.com
AGN-004,Dentsu,enterprise-ops@dentsu.com
AGN-005,Havas,enterprise-ops@havas.com
AGN-006,IPG Mediabrands,enterprise-ops@ipgmediabrands.com
AGN-007,WPP,enterprise-ops@wpp.com
AGN-008,Spark Foundry,enterprise-ops@sparkfoundry.com
AGN-009,Mindshare,enterprise-ops@mindshare.com
AGN-010,EssenceMediacom,enterprise-ops@essencemediacom.com
AGN-011,Carat,enterprise-ops@carat.com
AGN-012,Initiative,enterprise-ops@initiative.com
AGN-013,Starcom,enterprise-ops@starcom.com
AGN-014,Zenith,enterprise-ops@zenith.com
AGN-015,MullenLowe Mediahub,enterprise-ops@mullenlowemediahub.com
AGN-016,Assembly,enterprise-ops@assembly.com
AGN-017,Horizon Media,enterprise-ops@horizonmedia.com
AGN-018,PMG,enterprise-ops@pmg.com
AGN-019,Tinuiti,enterprise-ops@tinuiti.com
AGN-020,Canvas Worldwide,enterprise-ops@canvasworldwide.com
AGN-021,Kepler,enterprise-ops@kepler.com
AGN-022,PHD,enterprise-ops@phd.com
AGN-023,UM,enterprise-ops@um.com
AGN-024,Mediabrands Content Studio,enterprise-ops@mediabrandscontentstudio.com
AGN-025,iProspect,enterprise-ops@iprospect.com
AGN-026,Performics,enterprise-ops@performics.com
AGN-027,Good Apple,enterprise-ops@goodapple.com
AGN-028,Crossmedia,enterprise-ops@crossmedia.com
AGN-029,Basis,enterprise-ops@basis.com
AGN-030,Wavemaker,enterprise-ops@wavemaker.com
